State/Union Territory,Constituency Name
Andhra Pradesh,Araku
Andhra Pradesh,Srikakulam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,Anakapalli
Andhra Pradesh,Kakinada
Andhra Pradesh,Amalapuram
Andhra Pradesh,Rajahmundry
Andhra Pradesh,Narasapuram
Andhra Pradesh,Eluru
Andhra Pradesh,Machilipatnam
Andhra Pradesh,Vijayawada
Andhra Pradesh,Guntur
Andhra Pradesh,Narasaraopet
Andhra Pradesh,Bapatla
Andhra Pradesh,Ongole
Andhra Pradesh,Nandyal
Andhra Pradesh,Kurnool
Andhra Pradesh,Anantapur
Andhra Pradesh,Hindupur
Andhra Pradesh,Kadapa
Andhra Pradesh,Nellore
Andhra Pradesh,Tirupati
Andhra Pradesh,Rajampet
Andhra Pradesh,Chittoor
Arunachal Pradesh,Arunachal West
Arunachal Pradesh,Arunachal East
Assam,Karimganj
Assam,Silchar
Assam,Autonomous District
Assam,Dhubri
Assam,Kokrajhar
Assam,Barpeta
Assam,Gauhati
Assam,Mangaldoi
Assam,Tezpur
Assam,Nowgong
Assam,Kaliabor
Assam,Jorhat
Assam,Dibrugarh
Assam,Lakhimpur
Bihar,Valmiki Nagar
Bihar,Paschim Champaran
Bihar,Purvi Champaran
Bihar,Sheohar
Bihar,Sitamarhi
Bihar,Madhubani
Bihar,Jhanjharpur
Bihar,Supaul
Bihar,Araria
Bihar,Kishanganj
Bihar,Katihar
Bihar,Purnia
Bihar,Madhepura
Bihar,Darbhanga
Bihar,Muzaffarpur
Bihar,Vaishali
Bihar,Gopalganj
Bihar,Siwan
Bihar,Maharajganj
Bihar,Saran
Bihar,Hajipur
Bihar,Ujiarpur
Bihar,Samastipur
Bihar,Begusarai
Bihar,Khagaria
Bihar,Bhagalpur
Bihar,Banka
Bihar,Munger
Bihar,Nalanda
Bihar,Patna Sahib
Bihar,Pataliputra
Bihar,Arrah
Bihar,Buxar
Bihar,Sasaram
Bihar,Karakat
Bihar,Jahanabad
Bihar,Aurangabad
Bihar,Gaya
Bihar,Nawada
Bihar,Jamui
Chhattisgarh,Sarguja
Chhattisgarh,Raigarh
Chhattisgarh,Janjgir
Chhattisgarh,Korba
Chhattisgarh,Bilaspur
Chhattisgarh,Rajnandgaon
Chhattisgarh,Durg
Chhattisgarh,Raipur
Chhattisgarh,Mahasamund
Chhattisgarh,Bastar
Chhattisgarh,Kanker
Goa,North Goa
Goa,South Goa
